job,agent,model,dataset,task,trial_dir,reward,status
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4446052_tpmt_1_tpmt_2_tpmt_3a_tpmt_3b_tpmt_3c_tpmt_9_summary,pmc4446052_tpmt_1_tpmt_2_tpmt_3a__SV355zm,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4480333_cyp2d6_1_cyp2d6_3_cyp2d6_4_cyp2d6_5_cyp2d6_6_cyp2d6_10_summary,pmc4480333_cyp2d6_1_cyp2d6_3_cyp__58CASm4,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4500328_tpmt_1_tpmt_2_tpmt_3a_tpmt_3b_tpmt_3c_tpmt_4_tpmt_5_tpmt_6_tpmt_7_tpmt_8_tpmt_9_tpmt_12_tpmt_14_tpmt_15_tpmt_16_tpmt_23_summary,pmc4500328_tpmt_1_tpmt_2_tpmt_3a__NLsNqVY,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4502741_rs121908755_summary,pmc4502741_rs121908755_summary__84vdtyd,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4609097_rs121908757_summary,pmc4609097_rs121908757_summary__McsHtJa,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4609097_rs121909005_summary,pmc4609097_rs121909005_summary__N7TbnJ8,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4641035_rs78655421_summary,pmc4641035_rs78655421_summary__dp8LciR,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4737107_tpmt_1_tpmt_2_tpmt_3a_tpmt_3c_tpmt_9_summary,pmc4737107_tpmt_1_tpmt_2_tpmt_3a__ELjf9WL,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4737107_tpmt_1_tpmt_2_tpmt_3a_tpmt_3c_tpmt_9_summary_1451748900,pmc4737107_tpmt_1_tpmt_2_tpmt_3a__atCYBwy,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4737107_tpmt_1_tpmt_2_tpmt_3a_tpmt_3b_tpmt_3c_tpmt_7_tpmt_9_tpmt_10_tpmt_12_tpmt_13_tpmt_16_tpmt_17_tpmt_18_tpmt_23_summary,pmc4737107_tpmt_1_tpmt_2_tpmt_3a__eWMQT8o,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4746878_rs4149056_summary,pmc4746878_rs4149056_summary__c2XK5Eh,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4872310_ugt1a1_1_ugt1a1_28_summary,pmc4872310_ugt1a1_1_ugt1a1_28_su__63GMFSp,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4879695_rs67376798_summary,pmc4879695_rs67376798_summary__25pf32N,0.3333333333333333,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc4930967_ugt1a1_1_ugt1a1_28_summary,pmc4930967_ugt1a1_1_ugt1a1_28_su__LCGz28e,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc5029084_nudt15_1_nudt15_2_nudt15_3_summary,pmc5029084_nudt15_1_nudt15_2_nud__HorWYtq,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc5053597_rs12979860_summary_1183680546,pmc5053597_rs12979860_summary_11__FgEpHDE,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc5053597_rs12979860_summary,pmc5053597_rs12979860_summary__86c3tEJ,0.6666666666666666,partial
2026-02-17__23-25-36,claude-code,,summary_qa,pmc507468_rs3918290_summary,pmc507468_rs3918290_summary__y65hi44,0.0,fail
2026-02-17__23-25-36,claude-code,,summary_qa,pmc5079351_rs77932196_summary,pmc5079351_rs77932196_summary__GQLG9ei,1.0,pass
2026-02-17__23-25-36,claude-code,,summary_qa,pmc5355968_cyp2c19_1_cyp2c19_2_cyp2c19_3_cyp2c19_17_summary,pmc5355968_cyp2c19_1_cyp2c19_2_c__GaKGTw6,0.6666666666666666,partial
